PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
"₹55,019",3 BHK,"in Borabanda, Hyderabad",2063 sq.ft,,Semi
"₹45,011",3 BHK,"in Kokapet, Hyderabad",2344 sq.ft,,Semi
"₹32,000",2 BHK,"in Hitech City, Hyderabad",1200 sq.ft,Bathrooms2,Semi
"₹23,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹23,000",1 BHK,"in Kondapur, Hyderabad",720 sq.ft,,Fully
"₹1,70,000",3 BHK,"in Rai Durg, Hyderabad",2595 sq.ft,,Fully
"₹27,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms1,Semi
"₹40,000",2 BHK,"in Kondapur, Hyderabad",1300 sq.ft,Bathrooms1,Fully
"₹18,000",2 BHK,"in Uppal, Hyderabad",1850 sq.ft,Bathrooms2,Un
"₹15,000",2 BHK,"in Saroornagar, Hyderabad",1200 sq.ft,Bathrooms2,Un
"₹65,000",4 BHK,"in Kondapur, Hyderabad",2280 sq.ft,Bathrooms2,Fully
"₹22,003",1 BHK,"in Kondapur, Hyderabad",800 sq.ft,Bathrooms1,Semi
"₹35,000",2 BHK,"in Kondapur, Hyderabad",1100 sq.ft,Bathrooms2,Fully
"₹35,000",3 BHK,"in Kondapur, Hyderabad",1800 sq.ft,Bathrooms2,Semi
"₹40,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms3,Semi
"₹42,000",3 BHK,"in Kondapur, Hyderabad",1700 sq.ft,,Semi
"₹35,000",2 BHK,"in Madhapur, Hyderabad",1150 sq.ft,Bathrooms2,Semi
"₹70,000",2 BHK,"in Nallagandla, Hyderabad",2444 sq.ft,,Fully
"₹20,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms1,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹16,500",1 BHK,"in Kondapur, Hyderabad",750 sq.ft,Bathrooms1,Semi
"₹30,000",2 BHK,"in Kondapur, Hyderabad",1400 sq.ft,Bathrooms1,Semi
"₹22,005",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹20,003",1 BHK,"in Kondapur, Hyderabad",550 sq.ft,Bathrooms1,Semi
"₹26,000",1 BHK,"in Madhapur, Hyderabad",550 sq.ft,Bathrooms1,Un
"₹17,000",1 BHK,"in Kondapur, Hyderabad",850 sq.ft,Bathrooms1,Semi
"₹29,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹35,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms2,Semi
"₹33,000",3 BHK,"in Kondapur, Hyderabad",2000 sq.ft,Bathrooms3,Semi
"₹27,000",1 BHK,"in Kondapur, Hyderabad",700 sq.ft,Bathrooms1,Fully
"₹27,000",1 BHK,"in Kondapur, Hyderabad",700 sq.ft,Bathrooms1,Fully
"₹20,000",1 BHK,"in Kondapur, Hyderabad",500 sq.ft,Bathrooms1,Semi
"₹25,000",1 BHK,"in Kondapur, Hyderabad",700 sq.ft,Bathrooms1,Fully
"₹23,000",1 BHK,"in Kondapur, Hyderabad",720 sq.ft,,Fully
"₹21,000",1 BHK,"in Kondapur, Hyderabad",550 sq.ft,Bathrooms1,Semi
"₹22,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹21,500",1 BHK,"in Kondapur, Hyderabad",550 sq.ft,Bathrooms1,Semi
"₹22,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹20,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹22,000",1 BHK,"in Kondapur, Hyderabad",700 sq.ft,Bathrooms1,Semi
"₹23,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹35,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms2,Semi
"₹40,000",2 BHK,"in Kondapur, Hyderabad",1000 sq.ft,Bathrooms2,Fully
"₹23,000",1 BHK,"in Kondapur, Hyderabad",700 sq.ft,Bathrooms1,Fully
"₹32,000",2 BHK,"in Kondapur, Hyderabad",1225 sq.ft,Bathrooms2,Semi
"₹21,000",1 BHK,"in Kondapur, Hyderabad",700 sq.ft,Bathrooms1,Semi
"₹45,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms2,Fully
"₹60,000",3 BHK,"in Kondapur, Hyderabad",2000 sq.ft,Bathrooms3,Fully
"₹38,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms2,Fully
"₹25,000",1 BHK,"in Kondapur, Hyderabad",700 sq.ft,Bathrooms1,Fully
"₹1,70,000",3 BHK,"in Rai Durg, Hyderabad",2595 sq.ft,,Fully
"₹22,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Fully
"₹37,000",2 BHK,"in Kondapur, Hyderabad",1000 sq.ft,Bathrooms2,Fully
"₹35,000",2 BHK,"in Kondapur, Hyderabad",1450 sq.ft,Bathrooms2,Semi
"₹37,500",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,,Semi
"₹27,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms1,Semi
"₹32,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms2,Semi
"₹23,500",1 BHK,"in Kondapur, Hyderabad",720 sq.ft,Bathrooms1,Fully
"₹29,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms1,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms1,Semi
"₹29,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹40,000",2 BHK,"in Kondapur, Hyderabad",1300 sq.ft,Bathrooms1,Fully
"₹26,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms1,Semi
"₹35,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms2,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹30,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms2,Semi
"₹30,000",2 BHK,"in Kondapur, Hyderabad",1500 sq.ft,Bathrooms2,Semi
"₹38,000",3 BHK,"in Serilingampally, Hyderabad",1850 sq.ft,Bathrooms2,Semi
"₹33,000",3 BHK,"in Kondapur, Hyderabad",2000 sq.ft,Bathrooms3,Semi
"₹35,000",3 BHK,"in Kondapur, Hyderabad",1800 sq.ft,Bathrooms3,Semi
"₹36,000",3 BHK,"in Kondapur, Hyderabad",1700 sq.ft,Bathrooms3,Semi
"₹32,000",3 BHK,"in Kondapur, Hyderabad",1650 sq.ft,Bathrooms3,Semi
"₹22,000",1 BHK,"in Kondapur, Hyderabad",750 sq.ft,Bathrooms1,Semi
"₹20,000",1 BHK,"in Kondapur, Hyderabad",700 sq.ft,Bathrooms1,Semi
"₹36,000",3 BHK,"in Kondapur, Hyderabad",1750 sq.ft,Bathrooms3,Semi
"₹32,000",3 BHK,"in Kondapur, Hyderabad",1625 sq.ft,Bathrooms3,Semi
"₹25,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1235 sq.ft,Bathrooms1,Semi
"₹43,000",3 BHK,"in Kondapur, Hyderabad",1725 sq.ft,Bathrooms2,Semi
"₹30,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms2,Semi
"₹40,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms2,Fully
"₹31,000",3 BHK,"in Kondapur, Hyderabad",1712 sq.ft,Bathrooms3,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹30,000",2 BHK,"in Kondapur, Hyderabad",1525 sq.ft,Bathrooms2,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1652 sq.ft,Bathrooms1,Semi
"₹16,500",1 BHK,"in Kondapur, Hyderabad",750 sq.ft,Bathrooms1,Semi
"₹65,000",4 BHK,"in Kondapur, Hyderabad",2280 sq.ft,Bathrooms2,Fully
"₹29,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹20,002",1 BHK,"in Kondapur, Hyderabad",700 sq.ft,Bathrooms1,Fully
"₹22,003",1 BHK,"in Kondapur, Hyderabad",800 sq.ft,Bathrooms1,Semi
"₹30,000",2 BHK,"in Kondapur, Hyderabad",1400 sq.ft,Bathrooms1,Semi
"₹48,000",3 BHK,"in Kondapur, Hyderabad",2800 sq.ft,Bathrooms2,Fully
"₹24,001",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹24,006",1 BHK,"in Kondapur, Hyderabad",750 sq.ft,Bathrooms1,Fully
"₹17,504",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Semi
"₹23,002",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹22,005",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹23,011",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹19,001",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Semi
"₹19,009",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Semi
"₹17,507",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Semi
"₹26,000",2 BHK,"in Kondapur, Hyderabad",1400 sq.ft,Bathrooms1,Semi
"₹26,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹38,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Fully
"₹33,000",3 BHK,"in Kondapur, Hyderabad",2400 sq.ft,Bathrooms2,Semi
"₹20,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹30,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹33,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Fully
"₹41,000",3 BHK,"in Kondapur, Hyderabad",1750 sq.ft,Bathrooms2,Semi
"₹35,000",2 BHK,"in Kondapur, Hyderabad",1400 sq.ft,Bathrooms1,Fully
"₹27,000",2 BHK,"in Kondapur, Hyderabad",1600 sq.ft,Bathrooms1,Semi
"₹25,000",2 BHK,"in Kondapur, Hyderabad",1800 sq.ft,Bathrooms1,Semi
"₹45,000",3 BHK,"in Kondapur, Hyderabad",1712 sq.ft,Bathrooms3,Fully
"₹20,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹26,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms1,Semi
"₹18,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹18,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹20,001",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹24,002",1 BHK,"in Kondapur, Hyderabad",750 sq.ft,Bathrooms1,Fully
"₹34,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms2,Semi
"₹20,000",1 BHK,"in Kondapur, Hyderabad",700 sq.ft,Bathrooms1,Fully
"₹17,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Fully
"₹24,000",1 BHK,"in Kondapur, Hyderabad",750 sq.ft,Bathrooms1,Fully
"₹16,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹27,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms2,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms2,Semi
"₹25,000",1 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms1,Fully
"₹27,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms2,Semi
"₹33,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms2,Fully
"₹27,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms2,Semi
"₹16,500",1 BHK,"in Kondapur, Hyderabad",725 sq.ft,,Semi
"₹16,500",1 BHK,"in Kondapur, Hyderabad",720 sq.ft,Bathrooms1,Semi
"₹38,000",3 BHK,"in Kondapur, Hyderabad",1652 sq.ft,Bathrooms3,Semi
"₹22,003",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹17,501",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Semi
"₹17,509",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Semi
"₹23,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹32,000",3 BHK,"in Kondapur, Hyderabad",1652 sq.ft,Bathrooms3,Semi
"₹33,000",3 BHK,"in Kondapur, Hyderabad",1652 sq.ft,Bathrooms3,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1593 sq.ft,Bathrooms2,Semi
"₹40,000",2 BHK,"in Kondapur, Hyderabad",1253 sq.ft,Bathrooms2,Fully
"₹25,000",2 BHK,"in Kondapur, Hyderabad",1180 sq.ft,Bathrooms2,Semi
"₹27,000",2 BHK,"in Kondapur, Hyderabad",1100 sq.ft,Bathrooms1,Semi
"₹35,000",2 BHK,"in Kondapur, Hyderabad",1100 sq.ft,Bathrooms2,Fully
"₹45,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms2,Semi
"₹42,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Fully
"₹26,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹22,007",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹27,001",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹49,001",3 BHK,"in Kondapur, Hyderabad",1650 sq.ft,Bathrooms2,Fully
"₹51,001",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms2,Fully
"₹23,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹37,000",3 BHK,"in Kondapur, Hyderabad",1750 sq.ft,Bathrooms2,Semi
"₹33,001",3 BHK,"in Kondapur, Hyderabad",1650 sq.ft,Bathrooms2,Semi
"₹24,002",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹26,004",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹21,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹23,001",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹23,006",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹25,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹36,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹35,000",3 BHK,"in Kondapur, Hyderabad",1800 sq.ft,Bathrooms2,Semi
"₹32,000",3 BHK,"in Kondapur, Hyderabad",1750 sq.ft,Bathrooms2,Semi
"₹22,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Fully
"₹40,000",3 BHK,"in Kondapur, Hyderabad",1650 sq.ft,Bathrooms2,Semi
"₹19,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Semi
"₹17,500",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Semi
"₹18,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Semi
"₹36,501",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹37,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms2,Fully
"₹53,000",3 BHK,"in Kondapur, Hyderabad",2100 sq.ft,Bathrooms2,Fully
"₹40,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms3,Semi
"₹25,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms2,Semi
"₹34,000",3 BHK,"in Kondapur, Hyderabad",1900 sq.ft,Bathrooms3,Semi
"₹42,000",3 BHK,"in Kondapur, Hyderabad",1700 sq.ft,,Semi
"₹21,500",1 BHK,"in Hafeezpet, Hyderabad",750 sq.ft,,Fully
"₹33,500",3 BHK,"in Kondapur, Hyderabad",1800 sq.ft,Bathrooms3,Semi
"₹34,000",2 BHK,"in Kondapur, Hyderabad",1350 sq.ft,Bathrooms2,Fully
"₹21,000",1 BHK,"in Kondapur, Hyderabad",720 sq.ft,,Fully
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1400 sq.ft,,Semi
"₹31,500",3 BHK,"in Kondapur, Hyderabad",1700 sq.ft,,Semi
"₹16,500",1 BHK,"in Kondapur, Hyderabad",720 sq.ft,Bathrooms1,Semi
"₹17,500",1 BHK,"in Kondapur, Hyderabad",750 sq.ft,Bathrooms1,Semi
"₹16,000",1 BHK,"in Kondapur, Hyderabad",720 sq.ft,Bathrooms1,Semi
"₹23,500",1 BHK,"in Kondapur, Hyderabad",720 sq.ft,Bathrooms1,Fully
"₹16,500",1 BHK,"in Kondapur, Hyderabad",725 sq.ft,Bathrooms1,Semi
"₹37,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms3,Semi
"₹42,000",2 BHK,"in Kondapur, Hyderabad",1400 sq.ft,Bathrooms2,Fully
"₹23,000",1 BHK,"in Kondapur, Hyderabad",725 sq.ft,Bathrooms1,Fully
"₹17,000",1 BHK,"in Kondapur, Hyderabad",756 sq.ft,Bathrooms1,Semi
"₹36,000",3 BHK,"in Kondapur, Hyderabad",1500 sq.ft,Bathrooms3,Semi
"₹18,000",1 BHK,"in Kondapur, Hyderabad",550 sq.ft,Bathrooms1,Semi
"₹20,003",1 BHK,"in Kondapur, Hyderabad",550 sq.ft,Bathrooms1,Semi
"₹24,000",2 BHK,"in Kondapur, Hyderabad",1143 sq.ft,Bathrooms1,Un
"₹40,000",3 BHK,"in Kondapur, Hyderabad",1700 sq.ft,,Semi
"₹44,000",3 BHK,"in Serilingampally, Hyderabad",1400 sq.ft,,Fully
"₹22,000",1 BHK,"in Kondapur, Hyderabad",550 sq.ft,Bathrooms1,Fully
"₹35,000",3 BHK,"in Kondapur, Hyderabad",1800 sq.ft,,Semi
"₹20,003",1 BHK,"in Kondapur, Hyderabad",550 sq.ft,Bathrooms1,Semi
"₹36,000",2 BHK,"in Kondapur, Hyderabad",1700 sq.ft,,Semi
"₹16,000",1 BHK,"in Kondapur, Hyderabad",550 sq.ft,Bathrooms1,Semi
"₹36,000",2 BHK,"in Kondapur, Hyderabad",1700 sq.ft,,Fully
"₹17,000",1 BHK,"in Kondapur, Hyderabad",550 sq.ft,Bathrooms1,Fully
"₹30,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,,Semi
"₹35,000",2 BHK,"in Madhapur, Hyderabad",1150 sq.ft,Bathrooms2,Semi
"₹25,000",1 BHK,"in Madhapur, Hyderabad",480 sq.ft,Bathrooms1,Semi
"₹26,000",1 BHK,"in Madhapur, Hyderabad",520 sq.ft,Bathrooms1,Un
"₹26,000",1 BHK,"in Madhapur, Hyderabad",520 sq.ft,Bathrooms1,Fully
"₹26,000",1 BHK,"in Madhapur, Hyderabad",550 sq.ft,Bathrooms1,Un
"₹26,000",1 BHK,"in Madhapur, Hyderabad",480 sq.ft,Bathrooms1,Un
"₹20,000",1 BHK,"in Madhapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹25,000",1 BHK,"in Madhapur, Hyderabad",450 sq.ft,Bathrooms1,Fully
"₹25,000",1 BHK,"in Madhapur, Hyderabad",450 sq.ft,Bathrooms1,Fully
"₹25,000",1 BHK,"in Madhapur, Hyderabad",500 sq.ft,Bathrooms1,Fully
"₹30,000",2 BHK,"in Madhapur, Hyderabad",580 sq.ft,Bathrooms2,Semi
"₹26,000",1 BHK,"in Madhapur, Hyderabad",600 sq.ft,Bathrooms1,Fully
"₹26,000",1 BHK,"in Madhapur, Hyderabad",550 sq.ft,Bathrooms1,Fully
"₹40,000",2 BHK,"in Madhapur, Hyderabad",900 sq.ft,Bathrooms2,Fully
"₹35,000",2 BHK,"in Madhapur, Hyderabad",1050 sq.ft,Bathrooms2,Semi
"₹26,000",1 BHK,"in Madhapur, Hyderabad",500 sq.ft,Bathrooms1,Fully
"₹25,000",1 BHK,"in Madhapur, Hyderabad",580 sq.ft,Bathrooms1,Fully
"₹25,000",1 BHK,"in Madhapur, Hyderabad",515 sq.ft,Bathrooms1,Fully
"₹26,000",1 BHK,"in Madhapur, Hyderabad",550 sq.ft,Bathrooms1,Fully
"₹24,000",1 BHK,"in Madhapur, Hyderabad",550 sq.ft,,Semi
"₹25,000",1 BHK,"in Madhapur, Hyderabad",585 sq.ft,Bathrooms1,Fully
"₹25,000",1 BHK,"in Madhapur, Hyderabad",550 sq.ft,Bathrooms1,Fully
"₹40,000",2 BHK,"in Madhapur, Hyderabad",1050 sq.ft,Bathrooms2,Fully
"₹38,000",2 BHK,"in Madhapur, Hyderabad",950 sq.ft,Bathrooms2,Semi
"₹40,000",2 BHK,"in Madhapur, Hyderabad",1200 sq.ft,Bathrooms2,Semi
"₹40,000",2 BHK,"in Madhapur, Hyderabad",1150 sq.ft,Bathrooms2,Semi
"₹25,000",1 BHK,"in Madhapur, Hyderabad",600 sq.ft,Bathrooms1,Fully
"₹40,000",2 BHK,"in Madhapur, Hyderabad",1100 sq.ft,Bathrooms2,Fully
"₹22,000",1 BHK,"in Madhapur, Hyderabad",550 sq.ft,Bathrooms1,Semi
"₹21,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹16,000",,"in Kondapur, Hyderabad",500 sq.ft,Bathrooms1,Semi
"₹38,000",2 BHK,"in Madhapur, Hyderabad",875 sq.ft,Bathrooms2,Fully
"₹55,000",3 BHK,"in Madhapur, Hyderabad",1600 sq.ft,Bathrooms2,Semi
"₹24,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Fully
"₹32,000",2 BHK,"in Madhapur, Hyderabad",1080 sq.ft,Bathrooms2,Semi
"₹40,000",2 BHK,"in Madhapur, Hyderabad",1100 sq.ft,Bathrooms2,Fully
"₹30,000",2 BHK,"in Madhapur, Hyderabad",950 sq.ft,Bathrooms2,Semi
"₹28,000",2 BHK,"in Madhapur, Hyderabad",955 sq.ft,Bathrooms2,Semi
"₹36,000",2 BHK,"in Madhapur, Hyderabad",1050 sq.ft,Bathrooms2,Fully
"₹45,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms3,Semi
"₹30,000",3 BHK,"in Kondapur, Hyderabad",1600 sq.ft,Bathrooms2,Semi
"₹40,000",3 BHK,"in Kondapur, Hyderabad",2300 sq.ft,Bathrooms2,Semi
"₹47,000",3 BHK,"in Kondapur, Hyderabad",2200 sq.ft,Bathrooms2,Semi
"₹45,000",3 BHK,"in Kondapur, Hyderabad",2000 sq.ft,Bathrooms2,Fully
